"Claim number","Response Date","Response"
"AU-XELOD/36516/425",2001-01-09,"YES"
"AU-XELOD/37063/721",2002-08-01,"YES"
"AU-XELOD/38244/714",2005-04-25,"Y"
"AU-XELOD/39482/881",2009-02-27,"N"
"AU-XELOD/40438/405",2011-02-02,"yes"
"AU-XELOD/40438/268",2011-02-02,"rejected"
"AU-XENIC/36242/323",2000-03-29,"YES"
"AU-XENIC/36242/541",2000-03-29,"APPROVED"
"AU-XENIC/38380/567",2006-03-24,"rejected"
"AU-ZELBO/40686/930",2012-04-30,"app"
"AT-ACTEM/41264/607",2014-04-23,"yes"
"AT-ACTEM/39415/881",2009-01-16,"N"
"AT-ACTEM/40465/695",2011-07-01,"NO"
"AT-ACTEM/39415/576",2009-01-16,"declined"
"AT-ACTEM/40465/447",2011-07-01,"APPROVED"
"AT-ACTEM/39415/430",2009-01-16,"app"
"AT-ACTEM/40465/375",2011-07-01,"declined"
"AT-ALDAC/30060/741",1984-03-15,"APPROVED"
"AT-ANEXA/31860/745",1987-10-15,"APPROVED"
"AT-ANEXA/31860/831",1987-10-15,"app"
"AT-ANEXA/31860/252",1987-10-15,"Approved"
"AT-ANEXA/31860/379",1987-10-15,"declined"
"AT-AVAST/37960/823",2005-01-12,"YES"
"AT-AVAST/38903/574",2007-03-27,"declined"
"AT-AVAST/38931/867",2007-08-21,"rejected"
"AT-AVAST/39175/432",2007-12-14,"app"
"AT-AVAST/39170/136",2008-01-25,"app"
"AT-AVAST/41520/525",2014-07-31,"YES"
"AT-AVAST/41796/768",2015-02-26,"rejected"
"AT-AVAST/37960/158",2005-01-12,"Approved"
"AT-AVAST/38903/600",2007-03-27,"yes"
"AT-AVAST/38931/173",2007-08-21,"declined"
"AT-AVAST/39175/104",2007-12-14,"yes"
"AT-AVAST/39170/569",2008-01-25,"rejected"
"AT-AVAST/41520/717",2014-07-31,"Y"
"AT-AVAST/41796/110",2015-02-26,"Y"
"AT-BONVI/38246/317",2005-09-15,"Y"
"AT-BONVI/38469/854",2006-03-29,"Approved"
"AT-BONVI/39034/498",2007-03-06,"NO"
"AT-BONVI/39034/256",2007-03-06,"Approved"
"AT-BONVI/38246/636",2005-09-15,"app"
"AT-BONVI/38469/596",2006-03-29,"NO"
"AT-CO-DI/35599/688",1998-06-18,"N"
"AT-COPEG/37512/861",2002-11-04,"rejected"
"AT-COPEG/37512/832",2002-11-04,"app"
"AT-COPEG/38260/305",2005-09-01,"yes"
"AT-COPEG/38398/504",2005-09-01,"yes"
"AT-COPEG/38814/190",2006-08-31,"NO"
"AT-COPEG/38814/490",2006-08-31,"NO"
"AT-COPEG/38814/870",2006-08-31,"declined"
"AT-COPEG/38814/855",2006-08-31,"Approved"
"AT-COPEG/38814/736",2006-08-31,"app"
"AT-COTEL/41884/702",2015-11-20,"yes"
"AT-CYMEV/33085/108",1991-01-31,"yes"
"AT-CYMEV/33085/655",1991-01-31,"Approved"
"AT-CYMEV/35159/236",1996-04-04,"app"
"AT-DILAT/35222/201",1996-12-06,"yes"
"AT-DILAT/35222/762",1996-12-06,"rejected"
"AT-DILAT/35222/104",1996-12-06,"yes"
"AT-DILAT/35222/826",1996-12-06,"YES"
"AT-DILAT/35222/567",1996-12-06,"rejected"
"AT-DILAT/35222/702",1996-12-06,"yes"
"AT-DILAT/35222/518",1996-12-06,"Y"
"AT-DILAT/35222/104",1996-12-06,"yes"
"AT-DORMI/33036/208",1990-12-12,"yes"
"AT-DORMI/33036/782",1990-12-12,"N"
"AT-DORMI/33036/666",1990-12-12,"rejected"
"AT-DORMI/37462/801",2002-07-25,"yes"
"AT-DORMI/37462/318",2002-07-25,"Y"
"AT-DORMI/37462/795",2002-07-25,"NO"
"AT-DORMI/32651/240",1989-11-23,"APPROVED"
"AT-DORMI/32651/875",1989-11-23,"declined"
"AT-DORMI/32651/194",1989-11-23,"NO"
"AT-ERIVE/40877/765",2013-07-12,"rejected"
"AT-ESBRI/40240/665",2011-02-28,"rejected"
"AT-GAZYV/41388/512",2014-07-23,"Y"
"AT-HERCE/41733/465",2014-07-24,"rejected"
"AT-HERCE/41733/717",2014-07-24,"Y"
"AT-HERCE/39422/167",2008-09-09,"rejected"
"AT-HERCE/40060/366",2010-01-19,"rejected"
"AT-HERCE/40344/281",2011-04-20,"N"
"AT-HERCE/40968/916",2013-08-26,"Y"
"AT-HERCE/40968/168",2013-08-26,"rejected"
"AT-HERCE/40968/196",2013-08-26,"NO"
"AT-HERCE/40968/393",2013-08-26,"NO"
"AT-HERCE/40968/374",2013-08-26,"declined"
"AT-HERCE/40968/220",2013-08-26,"YES"
"AT-HERCE/40968/478",2013-08-26,"declined"
"AT-INHIB/33029/965",1991-12-05,"rejected"
"AT-INHIB/34613/681",1994-10-06,"N"
"AT-INHIB/33029/612",1991-12-05,"Y"
"AT-INHIB/34613/707",1994-10-06,"yes"
"AT-INHIB/33029/152",1991-12-05,"Approved"
"AT-INHIB/34613/417",1994-10-06,"Y"
"AT-INHIB/34774/553",1995-03-16,"Approved"
"AT-INVIR/34957/915",1996-10-04,"Y"
"AT-KADCY/41150/405",2013-11-15,"yes"
"AT-KADCY/41150/825",2013-11-15,"YES"
"AT-KYTRI/33646/652",1992-08-12,"Approved"
"AT-KYTRI/33646/512",1992-08-12,"Y"
"AT-KYTRI/35448/457",1997-06-18,"Approved"
"AT-KYTRI/35448/439",1997-06-18,"app"
"AT-LARIA/31629/950",1987-02-05,"Approved"
"AT-LARIA/31629/425",1987-02-05,"YES"
"AT-MABTH/38708/288",2006-07-06,"N"
"AT-MABTH/38601/581",2006-07-06,"N"
"AT-MABTH/39265/486",2008-01-18,"N"
"AT-MABTH/39828/692",2009-08-21,"NO"
"AT-MABTH/39973/575",2010-10-25,"declined"
"AT-MABTH/41024/564",2013-04-25,"rejected"
"AT-MABTH/41242/241",2014-03-21,"APPROVED"
"AT-MABTH/38708/467",2006-07-06,"rejected"
"AT-MABTH/38601/973",2006-07-06,"declined"
"AT-MABTH/39265/302",2008-01-18,"yes"
"AT-MABTH/39828/392",2009-08-21,"NO"
"AT-MABTH/39973/278",2010-10-25,"declined"
"AT-MABTH/41024/609",2013-04-25,"yes"
"AT-MADOP/37711/787",2003-11-03,"N"
"AT-MADOP/28910/326",1979-08-24,"YES"
"AT-MADOP/35229/311",1997-01-13,"Y"
"AT-MADOP/35229/225",1997-01-13,"YES"
"AT-MADOP/35831/969",1998-08-05,"rejected"
"AT-MADOP/30082/207",1982-11-11,"yes"
"AT-MIRCE/38828/826",2007-07-20,"YES"
"AT-MIRCE/39387/805",2008-09-05,"yes"
"AT-MIRCE/38828/800",2007-07-20,"yes"
"AT-MIRCE/38828/202",2007-07-20,"yes"
"AT-MIRCE/38828/959",2007-07-20,"Approved"
"AT-MIRCE/39387/215",2008-09-05,"Y"
"AT-MIRCE/39387/711",2008-09-05,"Y"
"AT-MIRCE/38828/110",2007-07-20,"Y"
"AT-MIRCE/39387/372",2008-09-05,"declined"
"AT-MIRCE/38828/177",2007-07-20,"declined"
"AT-MIRCE/38828/283",2007-07-20,"N"
"AT-MIRCE/39387/842",2008-09-05,"APPROVED"
"AT-MIRCE/38828/171",2007-07-20,"declined"
"AT-MIRCE/38828/932",2007-07-20,"app"
"AT-MIRCE/38828/510",2007-07-20,"Y"
"AT-MIRCE/38828/578",2007-07-20,"declined"
"AT-MIRCE/38828/540",2007-07-20,"APPROVED"
"AT-MIRCE/38828/976",2007-07-20,"declined"
"AT-MIRCE/38828/940",2007-07-20,"APPROVED"
"AT-MIRCE/38828/133",2007-07-20,"app"
"AT-MIRCE/38828/576",2007-07-20,"declined"
"AT-PEGAS/40485/181",2011-06-29,"N"
"AT-PEGAS/40485/648",2011-06-29,"APPROVED"
"AT-PEGAS/40485/156",2011-06-29,"Approved"
"AT-PEGAS/40485/558",2011-06-29,"Approved"
"AT-PEGAS/40877/117",2013-03-13,"Y"
"AT-PEGAS/40877/309",2013-03-13,"yes"
"AT-PEGAS/36903/960",2002-06-20,"rejected"
"AT-PEGAS/36903/107",2002-06-20,"yes"
"AT-PEGAS/38007/664",2004-11-05,"rejected"
"AT-PEGAS/38189/404",2005-02-23,"yes"
"AT-PEGAS/39394/951",2008-06-20,"Approved"
"AT-PEGAS/39509/582",2008-11-28,"N"
"AT-PEGAS/40877/612",2013-03-13,"Y"
"AT-PEGAS/36903/751",2002-06-20,"Approved"
"AT-PEGAS/36903/929",2002-06-20,"YES"
"AT-PEGAS/38007/673",2004-11-05,"declined"
"AT-PEGAS/38189/865",2005-02-23,"rejected"
"AT-PEGAS/39394/720",2008-06-20,"YES"
"AT-PEGAS/39509/655",2008-11-28,"Approved"
"AT-PEGAS/40877/983",2013-03-13,"N"
"AT-PEGAS/40877/770",2013-03-13,"declined"
"AT-PEGAS/40877/118",2013-03-13,"Y"
"AT-PEGAS/40877/927",2013-03-13,"YES"
"AT-PEGAS/40705/494",2013-03-13,"NO"
"AT-PEGAS/40877/490",2013-03-13,"NO"
"AT-PEGAS/36903/337",2002-06-20,"app"
"AT-PEGAS/36903/798",2002-06-20,"NO"
"AT-PEGAS/38007/303",2004-11-05,"yes"
"AT-PEGAS/38189/511",2005-02-23,"Y"
"AT-PEGAS/39394/546",2008-06-20,"APPROVED"
"AT-PEGAS/39509/195",2008-11-28,"NO"
"AT-PEGAS/40877/518",2013-03-13,"Y"
"AT-PEGAS/36903/205",2002-06-20,"yes"
"AT-PEGAS/36903/292",2002-06-20,"NO"
"AT-PEGAS/38007/828",2004-11-05,"YES"
"AT-PEGAS/38189/860",2005-02-23,"rejected"
"AT-PEGAS/39394/426",2008-06-20,"YES"
"AT-PEGAS/39509/561",2008-11-28,"rejected"
"AT-PERJE/41883/522",2015-07-28,"YES"
"AT-PULMO/34057/969",1993-09-23,"rejected"
"AT-RIVOT/27818/618",1976-08-31,"Y"
"AT-RIVOT/27818/878",1976-08-31,"declined"
"AT-RIVOT/27818/309",1976-08-30,"yes"
"AT-RIVOT/27818/198",1976-08-30,"NO"
"AT-ROCAL/29251/544",1980-07-31,"APPROVED"
"AT-ROCAL/29251/511",1980-07-31,"Y"
"AT-ROCAL/29251/719",1980-07-31,"Y"
"AT-ROCAL/29251/961",1980-07-31,"rejected"
"AT-ROCAL/29251/129",1980-07-31,"YES"
"AT-ROCAL/34779/923",1995-03-21,"YES"
"AT-ROCAL/29251/695",1980-07-31,"NO"
"AT-ROCAL/29251/229",1980-07-31,"YES"
"AT-ROCAL/29251/649",1980-07-31,"APPROVED"
"AT-ROCAL/29251/814",1980-07-31,"Y"
"AT-ROCAL/29251/327",1980-07-31,"YES"
"AT-ROCAL/34779/539",1995-03-21,"app"
"AT-ROFER/36501/200",2000-06-07,"yes"
"AT-ROFER/36501/705",2000-06-07,"yes"
"AT-ROFER/36501/487",2000-06-07,"N"
"AT-ROFER/36501/116",2000-06-07,"Y"
"AT-ROFER/36501/283",2000-06-07,"N"
"AT-ROFER/36501/244",2000-06-07,"APPROVED"
"AT-ROFER/36501/172",2000-06-07,"declined"
"AT-ROFER/36501/123",2000-06-07,"YES"
"AT-ROFER/36501/627",2000-06-07,"YES"
"AT-ROFER/38353/712",2005-01-01,"Y"
"AT-ROFER/36220/852",1999-09-01,"Approved"
"AT-ROFER/36220/755",1999-09-01,"Approved"
"AT-ROFER/36220/997",1999-09-01,"NO"
"AT-ROFER/36220/282",1999-09-01,"N"
"AT-ROFER/36220/596",1999-09-01,"NO"
"AT-ROFER/36220/240",1999-09-01,"APPROVED"
"AT-ROFER/36220/174",1999-09-01,"declined"
"AT-ROFER/36220/712",1999-09-01,"Y"
"AT-ROFER/36220/183",1999-09-01,"N"
"AT-ROFER/38353/250",2005-01-01,"Approved"
"AT-ROFER/36220/284",1999-09-01,"N"
"AT-ROFER/36220/103",1999-09-01,"yes"
"AT-ROFER/36220/273",1999-09-01,"declined"
"AT-ROFER/36220/475",1999-09-01,"declined"
"AT-ROFER/36220/810",1999-09-01,"Y"
"AT-ROFER/36220/622",1999-09-01,"YES"
"AT-ROFER/36220/947",1999-09-01,"APPROVED"
"AT-ROFER/36220/910",1999-09-01,"Y"
"AT-ROFER/36220/689",1999-09-01,"N"
"AT-ROFER/38353/404",2005-01-01,"yes"
"AT-ROFER/36220/813",1999-09-01,"Y"
"AT-ROFER/36220/537",1999-09-01,"app"
"AT-ROFER/36220/235",1999-09-01,"app"
"AT-ROFER/36220/423",1999-09-01,"YES"
"AT-ROFER/36220/389",1999-09-01,"N"
"AT-ROFER/36220/191",1999-09-01,"NO"
"AT-ROFER/36220/337",1999-09-01,"app"
"AT-ROFER/36220/139",1999-09-01,"app"
"AT-ROFER/36220/705",1999-09-01,"yes"
"AT-ROFER/38353/471",2005-01-01,"declined"
"AT-TAMIF/39115/547",2007-09-19,"APPROVED"
"AT-TAMIF/39115/854",2007-09-19,"Approved"
"AT-TAMIF/41829/198",2015-05-05,"NO"
"AT-TAMIF/39115/988",2007-09-19,"N"
"AT-TAMIF/39115/460",2007-09-19,"rejected"
"AT-TAMIF/41829/656",2015-05-05,"Approved"
"AT-TAMIF/38555/530",2006-01-25,"app"
"AT-TAMIF/41829/683",2015-05-05,"N"
"AT-TAMIF/40522/120",2011-11-28,"YES"
"AT-TAMIF/40522/458",2011-11-28,"Approved"
"AT-TAMIF/41829/654",2015-05-05,"Approved"
"AT-TAMIF/38555/488",2006-01-25,"N"
"AT-TAMIF/41829/705",2015-05-05,"yes"
"AT-TARCE/38225/846",2005-09-19,"APPROVED"
"AT-TARCE/38628/254",2007-01-24,"Approved"
"AT-TARCE/42283/165",2016-01-25,"rejected"
"AT-TARCE/38225/226",2005-09-19,"YES"
"AT-TARCE/38628/708",2007-01-24,"yes"
"AT-TARCE/42283/476",2016-01-25,"declined"
"AT-TARCE/38225/156",2005-09-19,"Approved"
"AT-TARCE/38628/121",2007-01-24,"YES"
"AT-TARCE/42283/607",2016-01-25,"yes"
"AT-VALCY/39399/904",2008-05-13,"yes"
"AT-VALCY/39399/201",2008-05-13,"yes"
"AT-VALCY/39911/531",2010-09-22,"app"
"AT-VALCY/41620/264",2014-07-30,"rejected"
"AT-VALCY/41620/990",2014-07-30,"NO"
"AT-VALCY/37320/643",2002-05-10,"APPROVED"
"AT-VALCY/37900/958",2003-10-06,"Approved"
"AT-VALCY/41620/658",2014-07-30,"Approved"
"AT-VALCY/41620/438",2014-07-30,"app"
"AT-VESAN/35226/376",1996-12-10,"declined"
"AT-XELOD/38216/930",2005-03-31,"app"
"AT-XELOD/38919/406",2007-03-28,"yes"
"AT-XELOD/39171/111",2008-02-01,"Y"
"AT-XELOD/38216/609",2005-03-31,"yes"
"AT-XELOD/38919/656",2007-03-28,"Approved"
"AT-XELOD/39171/708",2008-02-01,"yes"
"AT-XENIC/35408/499",1998-07-29,"NO"
"AT-XENIC/35408/951",1998-07-29,"Approved"
"AT-XENIC/37883/622",2004-03-02,"YES"
"AT-ZELBO/40666/450",2012-02-17,"Approved"
"AZ-ACTEM/40059/823",2010-08-03,"YES"
"AZ-ACTEM/41113/262",2012-11-29,"rejected"
"AZ-ACTEM/41571/419",2013-12-12,"Y"
"AZ-ACTEM/41571/444",2013-12-12,"APPROVED"
"AZ-ACTEM/40059/588",2010-08-03,"N"
"AZ-ACTEM/41113/194",2012-11-29,"NO"
"AZ-ACTEM/41571/111",2013-12-12,"Y"
"AZ-ACTEM/41571/541",2013-12-12,"APPROVED"
"AZ-ACTEM/40059/135",2010-08-03,"app"
"AZ-ACTEM/41113/410",2012-11-12,"Y"
"AZ-ACTEM/41571/255",2013-12-12,"Approved"
"AZ-ACTEM/41571/972",2013-12-12,"declined"
"AZ-AVAST/39416/486",2008-01-17,"N"
"AZ-AVAST/39416/466",2008-01-17,"rejected"
"AZ-AVAST/40010/618",2009-12-01,"Y"
"AZ-AVAST/40010/693",2009-12-01,"NO"
"AZ-AVAST/40010/700",2009-12-01,"yes"
"AZ-AVAST/40010/472",2009-12-01,"declined"
"AZ-AVAST/40010/584",2009-12-01,"N"
"AZ-AVAST/40939/359",2012-06-08,"Approved"
"AZ-AVAST/41437/374",2013-09-11,"declined"
"AZ-AVAST/41437/829",2013-09-11,"YES"
"AZ-AVAST/42145/302",2015-06-24,"yes"
"AZ-AVAST/42145/964",2015-06-24,"rejected"
"AZ-AVAST/38336/226",2005-08-16,"YES"
"AZ-AVAST/39416/730",2008-01-17,"app"
"AZ-AVAST/40010/841",2009-12-01,"APPROVED"
"AZ-AVAST/40010/634",2009-12-01,"app"
"AZ-AVAST/40010/649",2009-12-01,"APPROVED"
"AZ-AVAST/40010/247",2009-12-01,"APPROVED"
"AZ-AVAST/40010/387",2009-12-01,"N"
"AZ-AVAST/40939/382",2012-06-08,"N"
"AZ-AVAST/41437/216",2013-09-11,"Y"
"AZ-AVAST/41437/199",2013-09-11,"NO"
"AZ-AVAST/42145/403",2015-06-24,"yes"
"AZ-AVAST/42145/931",2015-06-24,"app"
"AZ-BACTR/40000/715",2009-07-27,"Y"
"AZ-BACTR/40000/275",2009-07-27,"declined"
"AZ-BACTR/40000/775",2009-07-27,"declined"
"AZ-BACTR/40000/899",2009-07-27,"NO"
"AZ-BACTR/40000/166",2009-07-27,"rejected"
"AZ-BONVI/38576/885",2005-10-06,"N"
"AZ-CELLC/39506/290",2008-04-22,"NO"
"AZ-CELLC/39506/352",2008-04-22,"Approved"
"AZ-CELLC/39506/488",2008-04-22,"N"
"AZ-CELLC/41205/578",2014-03-27,"declined"
"AZ-CELLC/39506/923",2008-04-22,"YES"
"AZ-CELLC/39506/325",2008-04-22,"YES"
"AZ-CELLC/39506/971",2008-04-22,"declined"
"AZ-CELLC/41205/729",2014-03-27,"YES"
"AZ-COPEG/40011/551",2009-08-03,"Approved"
"AZ-COPEG/40011/189",2009-08-03,"N"
"AZ-COPEG/41131/679",2013-04-18,"declined"
"AZ-COPEG/41131/244",2013-04-18,"APPROVED"
"AZ-COPEG/41131/161",2013-04-18,"rejected"
"AZ-COPEG/41131/649",2013-04-18,"APPROVED"
"AZ-DILAT/41179/494",2013-02-28,"NO"
"AZ-DILAT/39351/749",2008-02-28,"APPROVED"
"AZ-DILAT/39351/480",2008-02-28,"N"
"AZ-DILAT/39351/503",2008-02-28,"yes"
"AZ-DILAT/41179/725",2013-02-28,"YES"
"AZ-DILAT/39351/462",2008-02-28,"rejected"
"AZ-DILAT/39351/427",2008-02-28,"YES"
"AZ-DILAT/39351/685",2008-02-28,"N"
"AZ-DILAT/41179/132",2014-05-29,"app"
"AZ-DORMI/39640/703",2009-07-27,"yes"
"AZ-DORMI/39640/492",2009-07-27,"NO"
"AZ-DORMI/39640/210",2009-07-27,"Y"
"AZ-HERCE/40149/611",2010-12-27,"Y"
"AZ-HERCE/40149/851",2010-12-27,"Approved"
"AZ-HERCE/40149/687",2010-12-27,"N"
"AZ-HERCE/40149/253",2010-12-27,"Approved"
"AZ-HERCE/41205/359",2012-11-29,"Approved"
"AZ-HERCE/40149/209",2010-12-27,"yes"
"AZ-HERCE/40203/707",2010-12-27,"yes"
"AZ-HERCE/40203/645",2010-12-27,"APPROVED"
"AZ-HERCE/40203/396",2010-12-27,"NO"
"AZ-HERCE/41205/440",2012-11-29,"APPROVED"
"AZ-KADCY/41544/729",2014-05-29,"YES"
"AZ-KADCY/41544/339",2014-05-29,"app"
"AZ-MABTH/39416/827",2008-02-28,"YES"
"AZ-MABTH/38594/591",2008-02-28,"NO"
"AZ-MABTH/38594/943",2008-02-28,"APPROVED"
"AZ-MABTH/39843/228",2009-06-01,"YES"
"AZ-MABTH/39843/850",2009-06-01,"Approved"
"AZ-MABTH/40435/975",2010-12-30,"declined"
"AZ-MABTH/41179/439",2013-02-28,"app"
"AZ-MABTH/41179/590",2013-02-28,"NO"
"AZ-MABTH/39416/973",2008-02-28,"declined"
"AZ-MABTH/39416/851",2008-02-28,"Approved"
"AZ-MABTH/39416/716",2008-02-28,"Y"
"AZ-MABTH/39416/703",2008-02-28,"yes"
"AZ-MABTH/39843/970",2009-06-01,"declined"
"AZ-MABTH/40435/639",2010-12-30,"app"
"AZ-MABTH/41179/263",2013-02-28,"rejected"
"AZ-MABTH/41179/720",2013-02-28,"YES"
"AZ-MIRCE/39416/918",2008-02-28,"Y"
"AZ-MIRCE/39416/375",2008-02-28,"declined"
"AZ-MIRCE/39416/749",2008-02-28,"APPROVED"
"AZ-MIRCE/39416/226",2008-02-28,"YES"
"AZ-NEORE/39366/756",2008-02-12,"Approved"
"AZ-NEORE/39366/468",2008-02-12,"rejected"
"AZ-NEORE/39366/728",2008-02-12,"YES"
"AZ-NEORE/39366/392",2008-02-12,"NO"
"AZ-NEORE/39366/520",2008-02-12,"YES"
"AZ-NEORE/39366/235",2008-02-12,"app"
"AZ-NEORE/39366/909",2008-02-12,"yes"
"AZ-NEORE/39366/534",2008-02-12,"app"
"AZ-NEORE/39366/589",2008-02-12,"N"
"AZ-NEORE/39366/134",2008-02-12,"app"
"AZ-PEGAS/41331/256",2013-06-17,"Approved"
"AZ-PEGAS/41331/449",2013-06-17,"APPROVED"
"AZ-PEGAS/41331/429",2013-06-17,"YES"
"AZ-PEGAS/41331/567",2013-06-17,"rejected"
"AZ-PEGAS/41684/132",2014-04-09,"app"
"AZ-PEGAS/41844/414",2014-09-30,"Y"
"AZ-PEGAS/41331/925",2013-06-17,"YES"
"AZ-PEGAS/41331/111",2013-06-17,"Y"
"AZ-PEGAS/41331/518",2013-06-17,"Y"
"AZ-PEGAS/41684/638",2014-04-09,"app"
"AZ-PEGAS/41684/655",2014-04-09,"Approved"
"AZ-PEGAS/41844/565",2014-09-30,"rejected"
"AZ-PEGAS/41131/858",2013-06-17,"Approved"
"AZ-PEGAS/41684/995",2014-04-09,"NO"
"AZ-PEGAS/41684/993",2014-04-09,"NO"
"AZ-PEGAS/41684/940",2014-04-09,"APPROVED"
"AZ-PEGAS/41684/192",2014-04-09,"NO"
"AZ-PEGAS/41684/554",2014-04-09,"Approved"
"AZ-PEGAS/41844/176",2014-09-30,"declined"
"AZ-PERJE/41299/650",2013-12-13,"Approved"
"AZ-ROCEP/39967/123",2009-07-27,"YES"
"AZ-ROCEP/39967/753",2009-07-27,"Approved"
"AZ-ROCEP/39967/797",2009-07-27,"NO"
"AZ-ROCEP/39967/147",2009-07-27,"APPROVED"
"AZ-ROCEP/39967/553",2009-07-27,"Approved"
"AZ-ROCEP/39967/119",2009-07-27,"Y"
"AZ-ROCEP/39967/855",2009-07-27,"Approved"
"AZ-ROCEP/39967/514",2009-07-27,"Y"
"AZ-ROCEP/39967/470",2009-07-27,"declined"
"AZ-ROCEP/39967/666",2009-07-27,"rejected"
"AZ-ROCEP/39967/757",2009-07-27,"Approved"
"AZ-ROCEP/39967/338",2009-07-27,"app"
"AZ-ROCEP/39967/101",2009-07-27,"yes"
"AZ-ROCEP/39967/106",2009-07-27,"yes"
"AZ-ROCEP/39967/868",2009-07-27,"rejected"
"AZ-ROCEP/39967/631",2009-07-27,"app"
"AZ-ROCEP/39967/647",2009-07-27,"APPROVED"
"AZ-ROCEP/39967/918",2009-07-27,"Y"
"AZ-ROCEP/39967/942",2009-07-27,"APPROVED"
"AZ-ROCEP/39967/637",2009-07-27,"app"
"AZ-ROCEP/39967/869",2009-07-27,"rejected"
"AZ-ROCEP/39967/113",2009-07-27,"Y"
"AZ-ROCEP/39967/887",2009-07-27,"N"
"AZ-ROCEP/39967/962",2009-07-27,"rejected"
"AZ-ROFER/39966/279",2009-07-27,"declined"
"AZ-ROFER/39966/290",2009-07-27,"NO"
"AZ-ROFER/39966/511",2009-07-27,"Y"
"AZ-ROFER/39966/369",2009-07-27,"rejected"
"AZ-ROFER/39966/680",2009-07-27,"N"
"AZ-ROFER/39966/723",2009-07-27,"YES"
"AZ-ROFER/39966/920",2009-07-27,"YES"
"AZ-ROFER/39966/165",2009-07-27,"rejected"
"AZ-ROFER/39966/223",2009-07-27,"YES"
"AZ-ROFER/41635/432",2014-10-09,"app"
"AZ-ROFER/39966/798",2009-07-27,"NO"
"AZ-ROFER/39966/218",2009-07-27,"Y"
"AZ-ROFER/39966/700",2009-07-27,"yes"
"AZ-ROFER/39966/369",2009-07-27,"rejected"
"AZ-ROFER/39966/334",2009-07-27,"app"
"AZ-ROFER/39966/549",2009-07-27,"APPROVED"
"AZ-ROFER/39966/729",2009-07-27,"YES"
"AZ-ROFER/39966/675",2009-07-27,"declined"
"AZ-ROFER/39966/409",2009-07-27,"yes"
"AZ-ROFER/41635/833",2014-10-09,"app"
"AZ-TAMIF/39994/754",2010-02-16,"Approved"
"AZ-TARCE/39295/565",2008-02-01,"rejected"
"AZ-TARCE/39295/420",2008-02-01,"YES"
"AZ-TARCE/39295/643",2008-02-01,"APPROVED"
"AZ-TARCE/40939/319",2012-05-16,"Y"
"AZ-TARCE/41131/488",2013-04-18,"N"
"AZ-TARCE/41131/337",2013-04-18,"app"
"AZ-TARCE/41131/214",2013-04-18,"Y"
"AZ-TARCE/41131/364",2013-04-18,"rejected"
"AZ-TARCE/39295/996",2008-02-01,"NO"
"AZ-TARCE/39295/624",2008-02-01,"YES"
"AZ-TARCE/40939/568",2012-05-16,"rejected"
"AZ-TARCE/41131/900",2013-04-18,"yes"
"AZ-TARCE/41131/592",2013-04-18,"NO"
"AZ-TARCE/41131/419",2013-04-18,"Y"
"AZ-TARCE/41131/538",2013-04-18,"app"
"AZ-TARCE/39295/950",2008-02-01,"Approved"
"AZ-TARCE/39295/537",2008-02-01,"app"
"AZ-TARCE/39295/349",2008-02-01,"APPROVED"
"AZ-TARCE/40939/673",2012-05-16,"declined"
"AZ-TARCE/41131/678",2013-04-18,"declined"
"AZ-TARCE/41131/963",2013-04-18,"rejected"
"AZ-TARCE/41131/138",2013-04-18,"app"
"AZ-TARCE/41131/796",2013-04-18,"NO"
"AZ-XELOD/40121/515",2011-02-25,"Y"
"AZ-XENIC/40149/994",2011-03-29,"NO"
"AZ-XENIC/40149/874",2011-03-29,"declined"
"AZ-ZELBO/41596/154",2014-05-29,"Approved"
"BH-ACTEM/39936/559",2009-07-15,"Approved"
"BH-ACTEM/40009/634",2012-05-09,"app"
"BH-ACTEM/40009/473",2012-05-09,"declined"
"BH-ANEXA/32578/365",1993-07-21,"rejected"
"BH-ANEXA/32815/345",1993-07-21,"APPROVED"
"BH-AVAST/38340/382",2005-03-19,"N"
"BH-AVAST/38355/725",2005-09-04,"YES"
"BH-AVAST/41214/547",2012-06-08,"APPROVED"
"BH-AVAST/42143/744",2015-11-15,"APPROVED"
"BH-AVAST/42143/735",2015-11-15,"app"
"BH-AVAST/38401/279",2005-05-19,"declined"
"BH-AVAST/38355/412",2005-09-04,"Y"
"BH-AVAST/41214/591",2012-06-08,"NO"
"BH-AVAST/42143/752",2015-11-15,"Approved"
"BH-AVAST/42143/444",2015-11-15,"APPROVED"
"BH-BONVI/38534/704",2005-10-01,"yes"
"BH-BONVI/38866/208",2006-07-15,"yes"
"BH-BONVI/38866/895",2006-07-15,"NO"
"BH-BONVI/38656/327",2006-01-24,"YES"
"BH-BONVI/39020/131",2007-04-03,"app"
"BH-CELLC/35068/244",1997-03-22,"APPROVED"
"BH-CELLC/35068/319",1997-03-22,"Y"
"BH-CELLC/35068/958",1997-03-22,"Approved"
"BH-CELLC/35068/863",1997-03-22,"rejected"
"BH-CELLC/35068/600",1997-03-22,"yes"
"BH-COPEG/37999/308",2003-04-12,"yes"
"BH-COPEG/38387/664",2005-07-20,"rejected"
"BH-COPEG/42141/235",2015-10-21,"app"
"BH-CYMEV/36535/624",2000-04-09,"YES"
"BH-DORMI/35980/396",1998-07-04,"NO"
"BH-DORMI/36042/251",1998-09-04,"Approved"
"BH-DORMI/36042/242",1998-09-04,"APPROVED"
"BH-DORMI/36042/482",1998-09-04,"N"
